age,job,marital,education,X2,X4,X3,X1,device,day,month,time_spent,banner_views,days_elapsed_old,banner_views_old,outcome_old,y
32,management,married,tertiary,0,26,0,0,cellular,22,aug,222,6,368.0,0,unknown,0
33,admin.,divorced,secondary,0,1762,1,0,cellular,19,nov,146,2,457.0,0,unknown,1
43,technician,divorced,primary,0,13,0,1,cellular,9,jul,977,4,348.0,0,unknown,1
31,admin.,single,secondary,0,0,1,0,unknown,16,may,28,4,344.0,0,unknown,0
30,management,married,secondary,0,503,1,0,cellular,2,feb,96,1,346.0,0,unknown,1
52,management,married,tertiary,0,40,0,0,cellular,19,nov,1265,3,717.0,0,unknown,0
50,admin.,married,secondary,0,0,0,0,cellular,4,aug,86,4,352.0,0,unknown,0
29,technician,married,secondary,0,1180,1,0,cellular,17,apr,367,3,323.0,3,failure,0
56,blue-collar,married,secondary,0,1362,0,0,telephone,31,jul,345,1,370.0,0,unknown,0
41,services,married,secondary,0,56,1,0,cellular,31,jul,63,21,344.0,0,unknown,0
25,management,single,tertiary,0,3,1,1,cellular,16,apr,1034,1,347.0,0,unknown,0
27,student,single,secondary,0,10536,0,0,cellular,29,jan,136,1,370.0,0,unknown,1
53,entrepreneur,married,tertiary,0,2884,1,0,unknown,16,may,165,4,367.0,0,unknown,1
24,admin.,single,secondary,0,-507,1,0,unknown,27,may,446,1,356.0,0,unknown,0
59,housemaid,married,primary,0,5501,0,0,unknown,9,jun,172,4,374.0,0,unknown,0
32,services,divorced,secondary,0,5267,1,0,cellular,21,nov,183,1,168.0,2,failure,0
32,technician,single,secondary,0,801,1,0,cellular,17,apr,637,1,370.0,0,unknown,0
38,technician,single,secondary,0,46,0,0,cellular,25,aug,90,2,365.0,0,unknown,1
40,unemployed,married,secondary,0,277,1,0,unknown,26,may,228,2,371.0,0,unknown,1
30,services,married,secondary,0,1399,0,0,cellular,28,jul,168,6,350.0,0,unknown,1
34,management,single,tertiary,0,454,0,0,cellular,14,aug,76,3,364.0,0,unknown,1
45,blue-collar,married,primary,0,-455,1,1,cellular,31,jul,161,2,362.0,0,unknown,1
31,blue-collar,single,secondary,0,2137,0,0,unknown,29,may,413,1,370.0,0,unknown,0
36,services,single,secondary,0,1405,1,0,cellular,14,apr,283,3,351.0,0,unknown,1
35,blue-collar,single,primary,0,1277,1,0,cellular,20,apr,143,4,412.0,0,unknown,0
33,management,single,tertiary,0,923,1,0,unknown,30,may,118,6,347.0,0,unknown,0
48,admin.,divorced,secondary,0,162,1,0,cellular,12,may,83,1,368.0,4,failure,0
54,blue-collar,married,primary,0,209,0,1,unknown,17,nov,206,1,351.0,0,unknown,0
35,management,single,tertiary,0,996,0,0,unknown,20,jun,17,2,364.0,0,unknown,1
49,technician,married,tertiary,0,1077,1,0,cellular,21,nov,79,4,543.0,0,unknown,0
36,blue-collar,married,secondary,0,0,0,0,unknown,5,jun,174,1,374.0,0,unknown,0
30,blue-collar,married,secondary,0,514,1,0,cellular,11,may,102,3,359.0,0,unknown,1
44,blue-collar,married,primary,0,617,1,0,unknown,13,may,227,2,351.0,0,unknown,1
37,management,single,tertiary,0,361,0,0,cellular,20,aug,174,2,358.0,0,unknown,1
47,services,married,secondary,0,2,0,1,cellular,21,jul,71,15,362.0,0,unknown,0
31,unemployed,single,secondary,0,1214,0,0,cellular,4,feb,974,1,411.0,0,unknown,0
27,unemployed,single,secondary,0,771,0,0,cellular,21,oct,181,1,302.0,3,other,1
28,management,married,tertiary,0,3516,0,0,cellular,17,jul,232,1,363.0,0,unknown,1
38,technician,married,tertiary,0,664,0,0,cellular,22,aug,242,2,366.0,0,unknown,1
22,technician,single,secondary,0,0,1,0,unknown,27,may,394,1,349.0,0,unknown,0
40,services,married,primary,0,33,0,0,unknown,26,may,70,3,346.0,0,unknown,0
43,entrepreneur,divorced,secondary,0,3780,1,0,cellular,9,jun,67,2,202.0,3,failure,1
36,blue-collar,married,primary,0,106,1,0,cellular,18,may,31,6,350.0,0,unknown,0
41,blue-collar,single,secondary,0,75,1,0,unknown,1,jul,479,9,351.0,0,unknown,0
59,self-employed,married,tertiary,0,0,1,0,cellular,11,may,89,1,365.0,0,unknown,1
50,blue-collar,married,secondary,0,-160,1,0,unknown,28,may,600,2,370.0,0,unknown,0
37,technician,single,secondary,0,133,1,0,cellular,24,jul,576,2,371.0,0,unknown,0
50,management,single,unknown,0,4666,0,0,cellular,19,nov,11,3,166.0,3,other,0
36,management,married,tertiary,0,596,1,0,unknown,2,jun,372,2,356.0,0,unknown,0
53,blue-collar,married,unknown,0,-491,1,0,unknown,20,jun,124,4,368.0,0,unknown,1
35,blue-collar,married,secondary,0,89,1,0,unknown,6,may,145,2,362.0,0,unknown,0
39,blue-collar,single,primary,0,207,0,1,unknown,16,jun,35,3,355.0,0,unknown,0
32,management,married,tertiary,0,1900,0,0,cellular,25,aug,121,16,557.0,0,unknown,0
45,services,married,tertiary,0,4958,0,0,cellular,4,may,212,4,349.0,0,unknown,0
47,blue-collar,married,secondary,1,-594,1,1,cellular,7,jul,100,4,365.0,0,unknown,0
43,technician,married,secondary,0,-496,1,0,unknown,29,may,100,2,363.0,0,unknown,0
28,student,single,secondary,0,246,1,0,unknown,14,may,162,4,369.0,0,unknown,0
74,retired,married,tertiary,0,6027,0,0,cellular,14,aug,233,2,370.0,0,unknown,0
58,entrepreneur,married,primary,0,124,1,0,cellular,7,jul,293,7,367.0,0,unknown,0
40,unemployed,divorced,secondary,0,452,0,0,cellular,20,nov,98,1,370.0,0,unknown,1
28,unemployed,single,secondary,0,1055,0,0,cellular,28,jan,196,1,349.0,0,unknown,1
59,technician,married,secondary,0,371,1,0,unknown,12,may,832,3,350.0,0,unknown,1
52,blue-collar,married,primary,0,134,1,0,cellular,24,jul,81,3,360.0,0,unknown,0
32,management,married,tertiary,0,4307,1,0,unknown,28,may,91,3,355.0,0,unknown,0
32,blue-collar,married,secondary,0,759,1,0,cellular,9,apr,317,5,356.0,0,unknown,1
44,management,married,primary,0,1880,1,0,cellular,18,nov,34,1,124.0,6,failure,0
61,management,married,tertiary,0,0,1,1,cellular,1,apr,158,1,115.0,2,failure,1
36,blue-collar,single,secondary,0,1392,1,0,unknown,15,may,205,2,355.0,0,unknown,1
50,admin.,married,secondary,0,-185,0,0,cellular,2,feb,97,1,368.0,0,unknown,0
31,admin.,married,secondary,0,23,0,0,cellular,14,jul,77,3,356.0,0,unknown,1
37,management,married,tertiary,0,981,0,0,cellular,22,aug,135,2,359.0,0,unknown,1
65,retired,divorced,primary,0,1840,0,0,cellular,1,jun,383,2,188.0,5,failure,1
42,services,married,secondary,0,59,0,0,cellular,28,aug,144,13,348.0,0,unknown,0
60,admin.,divorced,secondary,0,683,0,0,cellular,8,nov,507,1,345.0,0,unknown,0
31,unemployed,single,primary,0,406,0,0,cellular,4,feb,736,1,347.0,0,unknown,0
51,entrepreneur,single,secondary,0,440,0,0,unknown,18,jun,392,1,355.0,0,unknown,1
28,technician,single,tertiary,0,370,1,0,unknown,23,may,108,5,343.0,0,unknown,0
45,blue-collar,married,primary,0,942,0,1,cellular,9,jul,295,1,461.0,0,unknown,1
47,management,single,tertiary,0,512,0,0,cellular,15,jul,98,2,349.0,0,unknown,0
53,services,married,secondary,0,1,0,0,cellular,22,aug,120,10,370.0,0,unknown,0
51,unemployed,divorced,secondary,0,-56,1,0,cellular,19,nov,544,3,349.0,0,unknown,0
49,services,married,secondary,0,884,1,0,telephone,8,jul,201,3,352.0,0,unknown,0
59,management,married,tertiary,0,261,1,1,cellular,21,nov,124,1,369.0,0,unknown,0
60,admin.,married,unknown,0,2667,1,0,unknown,15,may,140,1,364.0,0,unknown,0
27,management,single,primary,1,13,0,0,cellular,30,jan,475,3,374.0,0,unknown,0
35,blue-collar,single,secondary,0,1253,0,0,unknown,29,may,2260,2,368.0,0,unknown,0
44,management,married,tertiary,0,70,0,0,cellular,20,aug,165,3,347.0,0,unknown,0
26,management,single,tertiary,0,690,0,0,cellular,5,feb,76,3,343.0,0,unknown,1
38,blue-collar,married,secondary,0,164,1,0,unknown,7,may,309,2,421.0,0,unknown,0
30,technician,single,secondary,0,1499,0,0,cellular,26,aug,66,21,586.0,0,unknown,0
30,management,married,tertiary,0,877,0,0,cellular,13,aug,202,1,83.0,5,failure,0
30,management,single,tertiary,0,2017,1,0,cellular,18,may,213,4,364.0,0,unknown,0
40,admin.,married,secondary,0,67,0,0,cellular,21,nov,199,2,363.0,0,unknown,1
27,blue-collar,single,secondary,0,484,1,0,cellular,15,apr,309,2,368.0,0,unknown,1
35,management,married,tertiary,0,2316,0,0,unknown,20,jun,8,3,346.0,0,unknown,1
33,housemaid,married,primary,0,1713,1,0,unknown,8,may,22,1,367.0,0,unknown,1
50,technician,married,secondary,0,3503,1,0,unknown,6,jun,103,2,370.0,0,unknown,0
33,blue-collar,married,primary,0,1050,1,0,unknown,26,may,304,4,367.0,0,unknown,0
54,management,married,tertiary,0,4112,0,0,unknown,19,jun,86,1,368.0,0,unknown,1
37,management,single,tertiary,0,698,0,0,cellular,8,sep,1081,2,481.0,0,unknown,0
33,technician,married,tertiary,0,75,0,0,cellular,21,jul,204,4,367.0,0,unknown,0
31,management,single,tertiary,0,6542,1,0,cellular,21,nov,71,3,192.0,2,other,0
37,blue-collar,married,secondary,0,22341,1,0,cellular,17,nov,175,1,370.0,0,unknown,0
38,technician,married,secondary,0,581,1,0,cellular,2,feb,223,2,272.0,1,failure,1
29,blue-collar,single,secondary,0,735,1,0,unknown,4,jun,130,3,366.0,0,unknown,0
32,services,married,secondary,0,38,1,0,cellular,15,may,744,1,343.0,0,unknown,0
29,blue-collar,married,secondary,0,339,1,0,cellular,15,may,63,3,354.0,2,failure,1
51,services,married,secondary,0,144,0,1,unknown,27,jun,153,2,367.0,0,unknown,1
53,technician,married,secondary,0,1835,1,0,cellular,21,nov,184,2,364.0,0,unknown,0
52,unknown,married,primary,0,8251,0,0,unknown,5,jun,397,1,346.0,0,unknown,0
44,management,married,tertiary,0,1451,1,0,cellular,17,nov,157,3,150.0,12,failure,0
24,technician,married,secondary,0,556,1,0,cellular,6,nov,368,2,80.0,2,success,0
54,management,married,tertiary,0,1411,0,0,cellular,12,aug,56,2,555.0,0,unknown,1
33,management,married,tertiary,0,51,1,0,cellular,21,aug,273,2,370.0,0,unknown,1
37,technician,married,secondary,0,261,0,0,cellular,29,aug,301,4,508.0,0,unknown,0
56,housemaid,divorced,secondary,0,977,0,0,cellular,7,jul,1200,1,351.0,0,unknown,0
33,management,married,tertiary,0,3363,1,1,cellular,13,aug,158,1,530.0,0,unknown,1
31,technician,single,tertiary,0,127,1,0,cellular,16,jul,122,1,363.0,0,unknown,1
40,blue-collar,married,primary,0,558,1,1,unknown,21,may,56,3,371.0,0,unknown,0
37,technician,married,tertiary,0,6968,0,0,cellular,1,jun,175,1,369.0,0,unknown,0
30,blue-collar,married,secondary,0,5903,1,0,cellular,6,may,231,1,363.0,1,failure,0
33,technician,single,tertiary,0,5234,0,0,unknown,2,jun,213,3,349.0,0,unknown,0
45,services,married,secondary,0,75,1,1,unknown,2,jun,222,2,376.0,0,unknown,1
54,blue-collar,divorced,secondary,0,1145,1,0,cellular,7,may,178,3,458.0,0,unknown,0
61,self-employed,divorced,tertiary,0,6,1,0,cellular,14,apr,133,2,350.0,0,unknown,0
45,management,married,tertiary,0,1363,1,0,unknown,15,may,657,5,362.0,0,unknown,0
76,retired,married,tertiary,0,2991,0,0,cellular,22,oct,344,1,183.0,1,success,0
36,technician,married,tertiary,0,1109,0,0,cellular,13,aug,328,2,362.0,0,unknown,1
41,technician,single,secondary,0,618,0,0,cellular,5,feb,1056,1,376.0,0,unknown,0
40,admin.,divorced,secondary,0,-541,1,1,unknown,28,may,270,4,344.0,0,unknown,1
27,services,single,tertiary,1,-152,1,1,cellular,15,may,14,4,363.0,0,unknown,1
46,blue-collar,divorced,primary,0,0,0,0,unknown,20,jun,62,2,370.0,0,unknown,0
59,entrepreneur,married,tertiary,0,631,1,0,unknown,12,jun,167,1,363.0,0,unknown,1
57,services,married,secondary,0,-37,0,1,telephone,16,jul,31,6,347.0,0,unknown,0
58,technician,married,secondary,0,116,0,0,unknown,16,jun,580,3,390.0,0,unknown,1
33,blue-collar,married,primary,0,1002,1,0,unknown,30,may,201,4,360.0,0,unknown,0
31,technician,married,unknown,0,14533,0,0,cellular,16,jun,245,2,370.0,0,unknown,0
42,management,married,tertiary,0,520,0,0,cellular,4,nov,158,1,353.0,0,unknown,1
59,management,single,secondary,0,671,1,1,unknown,15,may,157,5,371.0,0,unknown,1
30,technician,married,secondary,0,590,1,0,unknown,23,may,242,3,344.0,0,unknown,0
42,management,married,tertiary,0,4014,1,0,cellular,21,nov,149,4,186.0,1,other,0
32,technician,single,secondary,0,-5,0,1,cellular,26,aug,300,4,373.0,0,unknown,0
34,technician,single,secondary,0,102,0,0,cellular,30,jan,89,1,352.0,0,unknown,1
34,services,married,secondary,0,382,1,1,cellular,21,jul,149,7,357.0,0,unknown,1
64,retired,married,secondary,0,5966,1,0,cellular,22,jun,983,1,456.0,0,unknown,1
47,management,married,primary,0,1222,1,0,unknown,8,may,28,3,374.0,0,unknown,1
44,blue-collar,married,primary,0,-295,1,0,unknown,14,may,303,4,449.0,0,unknown,0
58,blue-collar,divorced,primary,0,8218,1,0,cellular,31,jul,124,10,361.0,0,unknown,0
58,management,married,tertiary,0,591,1,0,cellular,30,jul,233,3,343.0,0,unknown,1
37,management,divorced,tertiary,0,481,1,0,cellular,19,aug,97,6,348.0,0,unknown,1
36,management,married,tertiary,0,59,1,1,unknown,4,jul,100,1,343.0,0,unknown,0
27,services,married,secondary,0,58,1,0,cellular,7,may,113,1,337.0,2,other,1
51,technician,married,tertiary,0,0,0,0,telephone,17,nov,81,1,343.0,0,unknown,1
43,blue-collar,divorced,secondary,0,-259,0,0,cellular,17,nov,732,1,171.0,2,other,0
35,blue-collar,married,primary,0,456,1,0,unknown,2,jun,71,1,354.0,0,unknown,0
37,management,single,unknown,0,146,1,0,unknown,20,jun,16,8,370.0,0,unknown,0
33,technician,married,secondary,0,367,1,1,unknown,7,may,22,2,388.0,0,unknown,1
44,technician,single,tertiary,0,342,1,0,cellular,22,jul,70,1,359.0,0,unknown,1
56,admin.,married,secondary,0,11,0,0,unknown,13,may,42,3,364.0,0,unknown,0
65,retired,married,tertiary,0,1973,0,0,telephone,2,feb,121,1,287.0,3,success,1
35,entrepreneur,divorced,secondary,0,80,0,0,cellular,20,aug,67,5,367.0,0,unknown,1
36,services,married,secondary,0,-274,0,0,cellular,7,jul,217,1,353.0,0,unknown,1
38,technician,married,secondary,0,1442,1,1,unknown,14,may,483,3,366.0,0,unknown,0
38,self-employed,married,primary,0,215,1,0,cellular,8,may,124,2,353.0,1,other,1
38,technician,married,tertiary,0,0,0,0,cellular,22,aug,82,6,686.0,0,unknown,0
31,technician,married,secondary,0,-360,1,0,unknown,27,may,93,2,386.0,0,unknown,0
37,technician,married,secondary,0,827,1,1,cellular,26,aug,85,16,445.0,0,unknown,1
33,blue-collar,married,primary,0,276,0,0,unknown,30,jun,224,2,350.0,0,unknown,1
29,management,married,tertiary,0,-218,1,0,unknown,28,may,121,1,343.0,0,unknown,0
28,technician,married,tertiary,0,2925,1,0,cellular,20,apr,81,4,528.0,0,unknown,1
31,management,single,tertiary,0,444,1,0,unknown,19,may,114,2,362.0,0,unknown,0
34,self-employed,single,tertiary,0,1129,1,0,unknown,21,may,103,2,359.0,0,unknown,1
31,blue-collar,married,primary,0,392,1,0,cellular,14,may,465,2,360.0,1,failure,0
47,blue-collar,divorced,secondary,0,1480,1,0,cellular,15,may,144,1,365.0,1,failure,1
32,student,single,tertiary,0,214,0,0,cellular,4,may,117,1,378.0,0,unknown,1
58,retired,married,tertiary,0,138,0,0,cellular,7,may,143,1,346.0,5,failure,0
34,admin.,divorced,secondary,0,627,1,0,unknown,7,may,283,2,503.0,0,unknown,1
53,self-employed,divorced,tertiary,0,1841,0,0,unknown,12,jun,403,5,553.0,0,unknown,1
27,technician,single,secondary,0,0,1,0,cellular,6,may,176,1,353.0,0,unknown,0
59,blue-collar,married,primary,0,229,1,1,unknown,7,may,19,1,364.0,0,unknown,0
58,retired,divorced,unknown,0,5920,1,0,cellular,21,nov,96,1,121.0,1,failure,0
49,blue-collar,married,secondary,0,787,1,0,unknown,5,jun,280,1,364.0,0,unknown,1
61,unknown,single,primary,0,50,0,0,telephone,21,jul,465,6,371.0,0,unknown,0
29,blue-collar,married,secondary,0,43,1,0,unknown,6,may,268,2,362.0,0,unknown,0
31,management,married,tertiary,0,84,0,1,unknown,1,jul,143,1,385.0,0,unknown,1
45,entrepreneur,divorced,tertiary,0,1273,1,1,unknown,11,jun,197,3,366.0,0,unknown,1
53,management,married,secondary,0,-133,1,0,unknown,9,may,126,2,361.0,0,unknown,1
40,blue-collar,married,secondary,0,4853,0,0,cellular,31,jul,234,2,343.0,0,unknown,1
50,housemaid,married,primary,0,3690,0,0,cellular,9,feb,13,6,346.0,0,unknown,0
48,blue-collar,married,secondary,0,5241,1,0,unknown,29,may,158,1,345.0,0,unknown,0
24,technician,single,secondary,0,726,0,0,cellular,8,sep,445,2,372.0,0,unknown,0
31,technician,married,secondary,0,40,1,0,cellular,20,nov,294,2,361.0,0,unknown,1
34,management,married,tertiary,0,65,1,0,cellular,18,nov,544,1,470.0,0,unknown,0
33,management,single,secondary,0,1973,1,0,unknown,28,may,151,8,432.0,0,unknown,0
44,management,single,tertiary,0,1090,0,0,cellular,19,jul,204,4,532.0,2,other,0
47,management,married,tertiary,0,33,1,1,unknown,20,jun,14,25,364.0,0,unknown,1
50,management,divorced,tertiary,0,11998,0,0,cellular,21,nov,349,1,371.0,0,unknown,0
21,entrepreneur,single,tertiary,0,2077,0,0,cellular,5,aug,323,1,349.0,0,unknown,1
49,retired,married,primary,0,18,0,0,unknown,30,jul,9,1,368.0,0,unknown,0
70,retired,married,tertiary,0,15834,0,0,telephone,1,oct,90,1,362.0,0,unknown,0
47,admin.,married,unknown,0,0,1,0,cellular,21,nov,85,1,198.0,1,failure,1
34,admin.,married,secondary,0,244,1,0,cellular,31,jul,56,4,356.0,0,unknown,1
45,blue-collar,married,secondary,0,39,0,0,unknown,6,may,241,1,364.0,0,unknown,1
25,management,single,tertiary,0,2305,0,0,cellular,3,feb,207,1,370.0,0,unknown,1
60,retired,married,secondary,0,938,0,0,cellular,13,jan,380,3,419.0,0,unknown,0
54,blue-collar,married,primary,0,2110,1,0,cellular,16,apr,618,1,515.0,0,unknown,0
35,blue-collar,divorced,unknown,0,172,0,0,unknown,11,oct,4,1,381.0,2,other,1
41,management,married,tertiary,0,-195,0,1,cellular,20,nov,112,1,364.0,0,unknown,1
27,services,single,secondary,0,194,1,0,unknown,16,may,326,1,368.0,0,unknown,0
39,management,single,tertiary,0,26,1,0,cellular,28,jul,110,18,361.0,0,unknown,0
27,blue-collar,single,secondary,0,381,1,0,cellular,18,may,143,1,361.0,0,unknown,0
41,services,divorced,secondary,0,0,1,0,cellular,2,feb,20,1,349.0,0,unknown,1
30,self-employed,married,secondary,0,131,1,0,unknown,8,may,306,1,369.0,0,unknown,1
37,blue-collar,married,primary,0,33,0,1,cellular,8,jul,483,2,346.0,0,unknown,0
29,self-employed,single,tertiary,0,814,0,0,unknown,13,aug,461,1,343.0,0,unknown,0
28,management,single,secondary,0,2840,0,0,cellular,20,apr,227,5,633.0,0,unknown,0
33,blue-collar,married,secondary,0,285,0,1,unknown,3,jul,267,1,360.0,0,unknown,0
32,blue-collar,single,primary,0,1918,1,0,cellular,8,may,318,1,172.0,1,failure,0
41,technician,divorced,secondary,0,1631,1,0,cellular,12,aug,173,2,359.0,0,unknown,1
34,technician,married,secondary,0,427,0,0,cellular,3,feb,192,1,353.0,0,unknown,1
46,blue-collar,married,primary,0,-768,1,0,unknown,8,may,194,3,363.0,0,unknown,1
38,unemployed,married,primary,0,1147,1,1,unknown,8,may,249,5,357.0,0,unknown,0
70,housemaid,divorced,primary,0,1311,0,0,cellular,11,aug,651,1,344.0,0,unknown,0
