ID,p_hat
404,0.48
405,0.18
406,0.22
407,0.48
408,0.52
409,0.62
410,0.64
411,0.72
412,0.76
413,0.7
414,0.88
415,0.86
416,0.64
417,0.6
418,0.08
419,0.16
420,0.88
421,0.52
422,0.18
423,0.36
424,0.32
425,0.7
426,0.4
427,0.12
428,0.34
429,0.12
430,0.38
431,0.4
432,0.08
433,0.56
434,0.44
435,0.16
436,0.18
437,0.18
438,0.08
439,0.1
440,0.16
441,0.32
442,0.08
443,0.54
444,0.32
445,0.06
446,0.3
447,0.06
448,0.1
449,0.46
450,0.36
451,0.64
452,0.62
453,0.42
454,0.76
455,0.3
456,0.28
457,0.38
458,0.36
459,0.78
460,0.08
461,0.3
462,0.5
463,0.58
464,0.12
465,0.52
466,0.64
467,0.38
468,0.28
469,0.06
470,0.14
471,0.6
472,0.14
473,0.82
474,0.68
475,0.46
476,0.28
477,0.62
478,0.12
479,0.38
480,0.6
481,0.82
482,0.04
483,0.5
484,0.12
485,0.28
486,0.6
487,0.88
488,0.04
489,0.6
490,0.82
491,0.76
492,0.3
493,0.3
494,0.22
495,0.54
496,0.42
497,0.8
498,0.32
499,0.7
500,0.34
501,0.26
502,0.3
503,0.22
504,0.08
505,0.36
506,0.36
507,0.42
508,0.36
509,0.8
510,0.74
511,0.64
512,0.4
513,0.6
514,0.64
515,0.36
516,0.52
517,0.72
518,0.36
519,0.18
520,0.72
521,0.22
522,0.42
523,0.68
524,0.86
525,0.8
526,0.3
527,0.46
528,0.78
529,0.32
530,0.66
531,0.18
532,0.58
533,0.18
534,0.5
535,0.52
536,0.3
537,0.54
538,0.68
539,0.42
540,0.22
541,0.2
542,0.38
543,0.48
544,0.82
545,0.14
546,0.7
547,0.38
548,0.6
549,0.9
550,0.1
551,0.08
552,0.8
553,0.26
554,0.14
555,0.68
556,0.42
557,0.56
558,0.62
559,0.06
560,0.58
561,0.34
562,0.24
563,0.06
564,0.82
565,0.88
566,0.46
567,0.42
568,0.68
569,0.54
570,0.3
571,0.18
572,0.84
573,0.44
574,0.34
575,0.58
576,0.12
577,0.48
578,0.12
579,0.4
580,0.32
581,0.64
582,0.08
583,0.2
584,0.54
585,0.42
586,0.48
587,0.72
588,0.66
589,0.16
590,0.08
591,0.24
592,0.72
593,0.34
594,0.74
595,0.08
596,0.14
597,0.2
598,0.18
599,0.66
600,0.32
601,0.16
602,0.7
603,0.54
604,0.4
605,0.82
606,0.46
607,0.04
608,0.52
609,0.08
610,0.08
611,0.82
612,0.06
613,0.14
614,0.74
615,0.78
616,0.56
617,0.86
618,0.3
619,0.74
620,0.48
621,0.54
622,0.86
623,0.72
624,0.82
625,0.46
626,0.24
627,0.1
628,0.34
629,0.76
630,0.52
631,0.12
632,0.48
633,0.92
634,0.52
635,0.66
636,0.42
637,0.46
638,0.08
639,0.44
640,0.94
641,0.44
642,0.06
643,0.56
644,0.54
645,0.62
646,0.04
647,0.6
648,0.38
649,0.78
650,0.54
651,0.48
652,0.54
653,0.58
654,0.22
655,0.36
656,0.32
657,0.1
658,0.7
659,0.06
660,0.3
661,0.44
662,0.56
663,0.4
664,0.1
665,0.16
666,0.64
667,0.34
668,0.06
669,0.26
670,0.22
671,0.56
672,0.68
673,0.9
674,0.28
675,0.14
676,0.66
677,0.5
678,0.12
679,0.72
680,0.3
681,0.58
682,0.56
683,0.2
684,0.38
685,0.68
686,0.66
687,0.52
688,0.58
689,0.84
690,0.62
691,0.56
692,0.2
693,0.16
694,0.18
695,0.4
696,0.34
697,0.34
698,0.1
699,0.34
700,0.44
701,0.32
702,0.66
703,0.68
704,0.46
705,0.44
706,0.46
707,0.56
708,0.04
709,0.68
710,0.82
711,0.72
712,0.7
713,0.2
714,0.26
715,0.26
716,0.66
717,0.86
718,0.06
719,0.7
720,0.56
721,0.6
722,0.08
723,0.22
724,0.2
725,0.46
726,0.16
727,0.92
728,0.6
729,0.64
730,0.66
731,0.68
732,0.8
733,0.26
734,0.48
735,0.8
736,0.84
737,0.14
738,0.5
739,0.32
740,0.64
741,0.76
742,0.24
743,0.8
744,0.46
745,0.68
746,0.005
747,0.2
748,0.68
749,0.7
750,0.48
751,0.58
752,0.16
753,0.26
754,0.06
755,0.5
756,0.32
757,0.18
758,0.06
759,0.48
760,0.28
761,0.4
762,0.26
763,0.48
764,0.2
765,0.6
766,0.78
767,0.12
768,0.18
769,0.14
770,0.7
771,0.28
772,0.36
773,0.76
774,0.6
775,0.7
776,0.18
777,0.04
778,0.54
779,0.08
780,0.1
781,0.92
782,0.34
783,0.08
784,0.42
785,0.36
786,0.84
787,0.8
788,0.5
789,0.42
790,0.56
791,0.12
792,0.44
793,0.18
794,0.48
795,0.64
796,0.8
797,0.38
798,0.38
799,0.32
800,0.08
801,0.14
802,0.7
803,0.64
804,0.68
805,0.02
806,0.14
807,0.58
808,0.42
809,0.88
810,0.2
811,0.58
812,0.5
813,0.54
814,0.34
815,0.38
816,0.64
817,0.2
818,0.04
819,0.62
820,0.32
821,0.4
822,0.2
823,0.48
824,0.7
825,0.16
826,0.54
827,0.22
828,0.38
829,0.42
830,0.48
831,0.94
832,0.08
833,0.42
834,0.1
835,0.02
836,0.66
837,0.12
838,0.7
839,0.26
840,0.7
841,0.7
842,0.22
843,0.9
844,0.5
845,0.26
846,0.74
847,0.5
848,0.62
849,0.68
850,0.8
851,0.72
852,0.48
853,0.38
854,0.44
855,0.06
856,0.5
857,0.24
858,0.44
859,0.72
860,0.08
861,0.7
862,0.76
863,0.08
864,0.64
865,0.18
866,0.16
867,0.6
868,0.18
869,0.76
870,0.22
871,0.52
872,0.28
873,0.14
874,0.24
875,0.66
876,0.2
877,0.32
878,0.26
879,0.52
880,0.18
881,0.68
882,0.2
883,0.34
884,0.16
885,0.66
886,0.32
887,0.48
888,0.5
889,0.44
890,0.14
891,0.76
892,0.56
893,0.88
894,0.24
895,0.52
896,0.6
897,0.02
898,0.38
899,0.14
900,0.06
901,0.52
902,0.9
903,0.54
904,0.24
905,0.46
906,0.52
907,0.14
908,0.58
909,0.06
910,0.34
911,0.4
912,0.54
913,0.42
914,0.3
915,0.3
916,0.5
917,0.36
918,0.2
919,0.36
920,0.56
921,0.68
922,0.74
923,0.36
924,0.7
925,0.56
926,0.32
927,0.5
928,0.72
929,0.28
930,0.88
931,0.995
932,0.36
933,0.58
934,0.6
935,0.4
936,0.78
937,0.36
938,0.5
939,0.28
940,0.8
941,0.28
942,0.76
943,0.2
944,0.1
945,0.82
946,0.14
947,0.62
948,0.74
949,0.36
950,0.76
951,0.22
952,0.3
953,0.26
954,0.7
955,0.46
956,0.76
957,0.04
958,0.52
959,0.28
960,0.16
961,0.62
962,0.62
963,0.26
964,0.58
965,0.38
966,0.14
967,0.24
968,0.26
969,0.64
970,0.42
971,0.36
972,0.38
973,0.38
974,0.66
975,0.2
976,0.4
977,0.7
978,0.76
979,0.54
980,0.1
981,0.84
982,0.02
983,0.3
984,0.26
985,0.66
986,0.74
987,0.18
988,0.5
989,0.3
990,0.42
991,0.2
992,0.28
993,0.64
994,0.44
995,0.48
996,0.58
997,0.84
998,0.4
999,0.22
1000,0.88
1001,0.12
1002,0.24
1003,0.02
1004,0.32
1005,0.08
1006,0.6
1007,0.26
1008,0.68
1009,0.28
1010,0.26
1011,0.62
1012,0.52
1013,0.54
1014,0.04
1015,0.36
1016,0.005
1017,0.62
1018,0.7
1019,0.18
1020,0.58
1021,0.88
1022,0.34
1023,0.04
1024,0.74
1025,0.08
1026,0.5
1027,0.44
1028,0.6
1029,0.7
1030,0.64
1031,0.3
1032,0.14
1033,0.84
1034,0.66
1035,0.16
1036,0.42
1037,0.5
1038,0.88
1039,0.36
1040,0.66
1041,0.16
1042,0.64
1043,0.34
1044,0.44
1045,0.18
1046,0.7
1047,0.48
1048,0.32
1049,0.36
1050,0.1
1051,0.48
1052,0.3
1053,0.32
1054,0.6
1055,0.3
1056,0.46
1057,0.58
1058,0.72
1059,0.32
1060,0.8
1061,0.26
1062,0.26
1063,0.72
1064,0.08
1065,0.7
1066,0.26
1067,0.86
1068,0.08
1069,0.9
1070,0.76
1071,0.3
1072,0.34
1073,0.04
1074,0.005
1075,0.1
1076,0.9
1077,0.76
1078,0.1
1079,0.72
1080,0.78
1081,0.68
1082,0.16
1083,0.22
1084,0.36
1085,0.54
1086,0.66
1087,0.22
1088,0.34
1089,0.2
1090,0.86
1091,0.62
1092,0.26
1093,0.66
1094,0.56
1095,0.42
1096,0.2
1097,0.76
1098,0.62
1099,0.66
1100,0.1
1101,0.2
1102,0.58
1103,0.64
1104,0.3
1105,0.28
1106,0.54
1107,0.7
1108,0.1
1109,0.84
1110,0.68
1111,0.44
1112,0.76
1113,0.78
1114,0.2
1115,0.04
1116,0.72
1117,0.7
1118,0.4
1119,0.12
1120,0.34
1121,0.38
1122,0.66
1123,0.26
1124,0.7
1125,0.6
1126,0.8
1127,0.76
1128,0.16
1129,0.54
1130,0.86
1131,0.2
1132,0.68
1133,0.06
1134,0.44
1135,0.82
1136,0.62
1137,0.78
1138,0.8
1139,0.28
1140,0.44
1141,0.38
1142,0.7
1143,0.6
1144,0.74
1145,0.3
1146,0.64
1147,0.58
1148,0.66
1149,0.005
1150,0.5
1151,0.16
1152,0.06
1153,0.68
1154,0.84
1155,0.66
1156,0.76
1157,0.64
1158,0.1
1159,0.86
1160,0.18
1161,0.26
1162,0.06
1163,0.42
1164,0.38
1165,0.38
1166,0.72
1167,0.5
1168,0.96
1169,0.16
1170,0.52
1171,0.18
1172,0.22
1173,0.5
1174,0.1
1175,0.14
1176,0.005
1177,0.48
1178,0.76
1179,0.36
1180,0.34
1181,0.52
1182,0.06
1183,0.64
1184,0.32
1185,0.54
1186,0.36
1187,0.36
1188,0.2
1189,0.36
1190,0.26
1191,0.16
1192,0.44
1193,0.62
1194,0.52
1195,0.12
1196,0.66
1197,0.14
1198,0.66
1199,0.64
1200,0.24
1201,0.38
1202,0.5
1203,0.74
1204,0.5
1205,0.92
1206,0.52
1207,0.82
1208,0.9
1209,0.64
1210,0.18
1211,0.46
1212,0.42
1213,0.68
1214,0.46
1215,0.76
1216,0.8
1217,0.4
1218,0.24
1219,0.76
1220,0.14
1221,0.74
1222,0.4
1223,0.5
1224,0.58
1225,0.44
1226,0.56
1227,0.78
1228,0.18
1229,0.5
1230,0.32
1231,0.2
1232,0.12
1233,0.32
1234,0.72
1235,0.18
1236,0.34
1237,0.14
1238,0.32
1239,0.56
1240,0.12
1241,0.82
1242,0.68
1243,0.28
1244,0.38
1245,0.76
1246,0.82
1247,0.48
1248,0.72
1249,0.82
1250,0.64
1251,0.04
1252,0.36
1253,0.14
1254,0.12
1255,0.4
1256,0.1
1257,0.58
1258,0.02
1259,0.1
1260,0.9
1261,0.4
1262,0.62
1263,0.04
1264,0.16
1265,0.82
1266,0.54
1267,0.48
1268,0.12
1269,0.34
1270,0.54
1271,0.28
1272,0.2
1273,0.48
1274,0.56
1275,0.28
1276,0.3
1277,0.56
1278,0.08
1279,0.06
1280,0.64
1281,0.74
1282,0.88
1283,0.8
1284,0.78
1285,0.54
1286,0.24
1287,0.4
1288,0.36
1289,0.56
1290,0.16
1291,0.74
1292,0.48
1293,0.28
1294,0.32
1295,0.52
1296,0.58
1297,0.24
1298,0.2
1299,0.16
1300,0.34
1301,0.2
1302,0.14
1303,0.14
1304,0.5
1305,0.24
1306,0.04
1307,0.42
1308,0.7
1309,0.5
1310,0.86
1311,0.74
1312,0.58
1313,0.56
1314,0.9
1315,0.3
1316,0.54
1317,0.5
1318,0.76
1319,0.74
1320,0.2
1321,0.62
1322,0.9
1323,0.54
1324,0.58
1325,0.18
1326,0.18
1327,0.42
1328,0.2
1329,0.82
1330,0.72
1331,0.78
1332,0.2
1333,0.8
1334,0.84
1335,0.4
1336,0.74
1337,0.56
1338,0.14
1339,0.52
1340,0.42
1341,0.42
1342,0.68
1343,0.78
1344,0.8
1345,0.12
1346,0.06
1347,0.5
1348,0.72
1349,0.6
1350,0.16
1351,0.34
1352,0.18
1353,0.3
1354,0.48
1355,0.84
1356,0.36
1357,0.78
1358,0.46
1359,0.64
1360,0.3
1361,0.24
1362,0.56
1363,0.04
1364,0.14
1365,0.64
1366,0.16
1367,0.92
1368,0.68
1369,0.26
1370,0.4
1371,0.52
1372,0.22
1373,0.36
1374,0.26
1375,0.56
1376,0.62
1377,0.72
1378,0.7
1379,0.22
1380,0.36
1381,0.44
1382,0.04
1383,0.72
1384,0.3
1385,0.3
1386,0.18
1387,0.78
1388,0.08
1389,0.32
1390,0.28
1391,0.52
1392,0.84
1393,0.42
1394,0.52
1395,0.44
1396,0.06
1397,0.32
1398,0.58
1399,0.08
1400,0.1
1401,0.36
1402,0.14
1403,0.3
1404,0.22
1405,0.58
1406,0.08
1407,0.26
1408,0.88
1409,0.8
1410,0.7
1411,0.74
1412,0.64
1413,0.54
1414,0.4
1415,0.5
1416,0.2
1417,0.6
1418,0.3
1419,0.26
1420,0.4
1421,0.08
1422,0.1
1423,0.74
1424,0.36
1425,0.48
1426,0.86
1427,0.2
1428,0.66
1429,0.74
1430,0.34
1431,0.78
1432,0.26
1433,0.44
1434,0.16
1435,0.5
1436,0.62
1437,0.12
1438,0.08
1439,0.56
1440,0.08
1441,0.32
1442,0.7
1443,0.24
1444,0.1
1445,0.78
1446,0.2
1447,0.44
1448,0.62
1449,0.4
1450,0.06
1451,0.32
1452,0.14
1453,0.52
1454,0.06
1455,0.72
1456,0.46
1457,0.12
1458,0.8
1459,0.38
1460,0.52
1461,0.72
1462,0.62
1463,0.28
1464,0.26
1465,0.36
1466,0.8
1467,0.46
1468,0.46
1469,0.2
1470,0.005
1471,0.22
1472,0.74
1473,0.84
1474,0.52
1475,0.44
1476,0.18
1477,0.48
1478,0.58
1479,0.48
1480,0.78
1481,0.34
1482,0.36
1483,0.32
1484,0.38
1485,0.42
1486,0.32
1487,0.18
1488,0.8
1489,0.44
1490,0.16
1491,0.68
1492,0.44
1493,0.34
1494,0.52
1495,0.26
1496,0.38
1497,0.22
1498,0.74
1499,0.22
1500,0.66
1501,0.24
1502,0.32
1503,0.2
1504,0.72
1505,0.2
1506,0.48
1507,0.02
1508,0.3
1509,0.06
1510,0.2
1511,0.66
1512,0.48
1513,0.26
1514,0.48
1515,0.6
1516,0.76
1517,0.3
1518,0.32
1519,0.74
1520,0.14
1521,0.28
1522,0.94
1523,0.44
1524,0.52
1525,0.52
1526,0.52
1527,0.28
1528,0.42
1529,0.94
1530,0.64
1531,0.24
1532,0.34
1533,0.42
1534,0.18
1535,0.28
1536,0.32
1537,0.42
1538,0.56
1539,0.92
1540,0.24
1541,0.32
1542,0.2
1543,0.62
1544,0.1
1545,0.8
1546,0.64
1547,0.52
1548,0.68
1549,0.36
1550,0.46
1551,0.84
1552,0.58
1553,0.58
1554,0.54
1555,0.42
1556,0.36
1557,0.32
1558,0.12
1559,0.36
1560,0.06
1561,0.28
1562,0.4
1563,0.62
1564,0.5
1565,0.58
1566,0.12
1567,0.2
1568,0.6
1569,0.86
1570,0.32
1571,0.28
1572,0.46
1573,0.005
1574,0.56
1575,0.82
1576,0.38
1577,0.36
1578,0.16
1579,0.34
1580,0.26
1581,0.6
1582,0.42
1583,0.1
1584,0.4
1585,0.62
1586,0.005
1587,0.54
1588,0.16
1589,0.86
1590,0.1
1591,0.4
1592,0.28
1593,0.3
1594,0.52
1595,0.16
1596,0.8
1597,0.48
1598,0.2
1599,0.6
1600,0.1
1601,0.66
1602,0.22
1603,0.34
1604,0.42
1605,0.26
1606,0.3
1607,0.72
1608,0.24
1609,0.02
1610,0.66
1611,0.16
1612,0.44
1613,0.48
1614,0.52
1615,0.24
1616,0.86
1617,0.96
1618,0.08
1619,0.14
1620,0.66
1621,0.84
1622,0.58
1623,0.16
1624,0.06
1625,0.18
1626,0.6
1627,0.34
1628,0.9
1629,0.24
1630,0.4
1631,0.66
1632,0.36
1633,0.5
1634,0.16
1635,0.46
1636,0.28
1637,0.26
1638,0.68
1639,0.36
1640,0.06
1641,0.2
1642,0.4
1643,0.52
1644,0.74
1645,0.08
1646,0.22
1647,0.48
1648,0.84
1649,0.88
1650,0.54
1651,0.8
1652,0.36
1653,0.58
1654,0.22
1655,0.22
1656,0.72
1657,0.02
1658,0.38
1659,0.8
1660,0.76
1661,0.4
1662,0.54
1663,0.32
1664,0.34
1665,0.46
1666,0.06
1667,0.56
1668,0.66
1669,0.82
1670,0.48
1671,0.28
1672,0.34
1673,0.72
1674,0.5
1675,0.36
1676,0.88
1677,0.68
1678,0.32
1679,0.76
1680,0.76
1681,0.26
1682,0.54
1683,0.86
1684,0.04
1685,0.22
1686,0.46
1687,0.24
1688,0.04
1689,0.18
1690,0.02
1691,0.38
1692,0.22
1693,0.64
1694,0.62
1695,0.6
1696,0.42
1697,0.4
1698,0.5
1699,0.32
1700,0.54
1701,0.74
1702,0.62
1703,0.46
1704,0.64
1705,0.54
1706,0.08
1707,0.44
1708,0.5
1709,0.12
1710,0.54
1711,0.32
1712,0.82
1713,0.6
1714,0.46
1715,0.06
1716,0.34
1717,0.18
1718,0.84
1719,0.44
1720,0.14
1721,0.82
1722,0.74
1723,0.26
1724,0.38
1725,0.66
1726,0.18
1727,0.44
1728,0.7
1729,0.36
1730,0.08
1731,0.72
1732,0.08
1733,0.7
1734,0.36
1735,0.36
1736,0.62
1737,0.46
1738,0.84
1739,0.72
1740,0.16
1741,0.72
1742,0.74
1743,0.34
1744,0.08
1745,0.06
1746,0.76
1747,0.22
1748,0.14
1749,0.46
1750,0.94
1751,0.22
1752,0.14
1753,0.4
1754,0.44
1755,0.84
1756,0.42
1757,0.56
1758,0.38
1759,0.62
1760,0.52
1761,0.18
1762,0.22
1763,0.1
1764,0.48
1765,0.3
1766,0.42
1767,0.64
1768,0.22
1769,0.4
1770,0.1
1771,0.28
1772,0.06
1773,0.24
1774,0.66
1775,0.56
1776,0.34
1777,0.08
1778,0.28
1779,0.3
1780,0.18
1781,0.06
1782,0.58
1783,0.2
1784,0.14
1785,0.4
1786,0.34
1787,0.12
1788,0.24
1789,0.62
1790,0.26
1791,0.3
1792,0.72
1793,0.76
1794,0.04
1795,0.4
1796,0.26
1797,0.82
1798,0.4
1799,0.68
1800,0.56
1801,0.48
1802,0.2
1803,0.82
1804,0.14
1805,0.88
1806,0.14
1807,0.58
1808,0.68
1809,0.16
1810,0.005
1811,0.4
1812,0.04
1813,0.1
1814,0.34
1815,0.64
1816,0.4
1817,0.58
1818,0.08
1819,0.8
1820,0.64
1821,0.74
1822,0.2
1823,0.3
1824,0.2
1825,0.26
1826,0.42
1827,0.46
1828,0.2
1829,0.54
1830,0.3
1831,0.52
1832,0.62
1833,0.78
1834,0.34
1835,0.2
1836,0.38
1837,0.28
1838,0.42
1839,0.42
1840,0.76
1841,0.22
1842,0.3
1843,0.54
1844,0.16
1845,0.38
1846,0.48
1847,0.86
1848,0.62
1849,0.3
1850,0.48
1851,0.52
1852,0.18
1853,0.44
1854,0.12
1855,0.28
1856,0.16
1857,0.1
1858,0.46
1859,0.66
1860,0.5
1861,0.44
1862,0.42
1863,0.56
1864,0.26
1865,0.06
1866,0.7
1867,0.2
1868,0.68
1869,0.28
1870,0.12
1871,0.8
1872,0.16
1873,0.44
1874,0.62
1875,0.68
1876,0.8
1877,0.32
1878,0.18
1879,0.48
1880,0.22
1881,0.02
1882,0.34
1883,0.22
1884,0.86
1885,0.14
1886,0.72
1887,0.32
1888,0.66
1889,0.22
1890,0.6
1891,0.22
1892,0.3
1893,0.54
1894,0.38
1895,0.36
1896,0.36
1897,0.08
1898,0.28
1899,0.38
1900,0.26
1901,0.14
1902,0.54
1903,0.48
1904,0.54
1905,0.56
1906,0.1
1907,0.38
1908,0.1
1909,0.38
1910,0.46
1911,0.88
1912,0.5
1913,0.24
1914,0.4
1915,0.7
1916,0.44
1917,0.28
1918,0.14
1919,0.2
1920,0.56
1921,0.8
1922,0.3
1923,0.2
1924,0.8
1925,0.28
1926,0.32
1927,0.58
1928,0.78
1929,0.24
1930,0.4
1931,0.16
1932,0.66
1933,0.58
1934,0.52
1935,0.4
1936,0.22
1937,0.3
1938,0.16
1939,0.9
1940,0.62
1941,0.46
1942,0.12
1943,0.62
1944,0.44
1945,0.4
1946,0.42
1947,0.78
1948,0.8
1949,0.74
1950,0.24
1951,0.42
1952,0.42
1953,0.48
1954,0.18
1955,0.28
1956,0.36
1957,0.3
1958,0.48
1959,0.64
1960,0.46
1961,0.38
1962,0.4
1963,0.56
1964,0.1
1965,0.94
1966,0.28
1967,0.26
1968,0.82
1969,0.46
1970,0.5
1971,0.48
1972,0.24
1973,0.36
1974,0.38
1975,0.42
1976,0.34
1977,0.58
1978,0.3
1979,0.36
1980,0.52
1981,0.7
1982,0.44
1983,0.34
1984,0.78
1985,0.2
1986,0.38
1987,0.52
1988,0.48
1989,0.46
1990,0.46
1991,0.08
1992,0.56
1993,0.76
1994,0.18
1995,0.38
1996,0.36
1997,0.74
1998,0.86
1999,0.94
2000,0.26
2001,0.68
2002,0.68
2003,0.4
2004,0.02
2005,0.5
2006,0.36
2007,0.5
2008,0.56
2009,0.34
2010,0.54
2011,0.2
2012,0.12
2013,0.22
2014,0.12
2015,0.62
2016,0.02
2017,0.5
2018,0.44
2019,0.56
2020,0.72
2021,0.6
2022,0.8
2023,0.38
2024,0.86
2025,0.86
2026,0.08
2027,0.18
2028,0.12
2029,0.36
2030,0.48
2031,0.6
2032,0.38
2033,0.32
2034,0.52
2035,0.44
2036,0.14
2037,0.64
2038,0.2
2039,0.28
2040,0.18
2041,0.64
2042,0.06
2043,0.74
2044,0.28
2045,0.34
2046,0.06
2047,0.38
2048,0.08
2049,0.2
2050,0.18
2051,0.72
2052,0.16
2053,0.52
2054,0.4
2055,0.52
2056,0.5
2057,0.04
2058,0.54
2059,0.38
2060,0.76
2061,0.46
2062,0.32
2063,0.24
2064,0.5
2065,0.56
2066,0.72
2067,0.38
2068,0.6
2069,0.66
2070,0.24
2071,0.74
2072,0.06
2073,0.6
2074,0.66
2075,0.56
2076,0.58
2077,0.4
2078,0.42
2079,0.26
2080,0.48
2081,0.44
2082,0.6
2083,0.56
2084,0.48
2085,0.02
2086,0.14
2087,0.32
2088,0.66
2089,0.78
2090,0.58
2091,0.8
2092,0.26
2093,0.16
2094,0.58
2095,0.56
2096,0.8
2097,0.56
2098,0.4
2099,0.22
2100,0.4
2101,0.62
2102,0.82
2103,0.26
2104,0.8
2105,0.22
2106,0.84
2107,0.94
2108,0.42
2109,0.08
2110,0.52
2111,0.06
2112,0.08
2113,0.32
2114,0.22
2115,0.1
2116,0.64
2117,0.44
2118,0.46
2119,0.42
2120,0.6
2121,0.78
2122,0.3
2123,0.32
2124,0.12
2125,0.62
2126,0.96
2127,0.68
2128,0.26
2129,0.24
2130,0.78
2131,0.56
2132,0.34
2133,0.36
2134,0.46
2135,0.78
2136,0.66
2137,0.52
2138,0.6
2139,0.14
2140,0.22
